step,M_base,D_before,D_after,A_decoy
128,-5.478551379974279,0.006998616558010295,7.154928088861672e-05,-25.567286284951603
512,-3.4790108249685856,0.02730308979918054,0.013266581465295479,-22.624530877506032
1000,-2.4387567374665857,0.07412785486986409,0.0760074080046961,-20.503948834643644
2000,0.3566993391446474,1.7696658070814812,1.3186531105115589,-16.08020042335286
4000,2.6949025594245244,2.403240698222387,3.3504533874113007,-12.229171285909764
8000,3.960545769485377,2.5673158094707853,3.5892382576135597,-10.389448109795065
16000,4.792225230001124,2.7945560030849643,3.8837422694105888,-9.411668090259328
32000,5.394390994394567,2.8282835479678403,4.231603517471734,-8.566886542965385
64000,5.9808140882075165,2.875794255320972,4.673387004106731,-7.68716917739195
96000,6.364386008448352,3.1498773180327175,5.147387201427404,-7.4339519366096045
128000,5.689890666171319,2.697530026893831,4.7454587963678065,-8.658213233947754
143000,5.976512622387058,2.6843240268991493,5.044927258562233,-7.981990946461172
